	text	class	sample
142	Ma	0	3
143	ß	0	3
144	und	0	3
145	Wert	0	3
146	,	0	3
147	z	0	3
148	(	0	3
149	1939	0	3
150	)	0	3
151	,	0	3
152	171	0	3
153	.	0	3
154	Dieses	0	3
155	Zitat	0	3
156	ist	0	3
157	ebenfalls	0	3
158	enthalten	0	3
159	in	0	3
160	Lowiths	0	3
161	Aufsatz	0	3
162	,	0	3
163	“	0	3
164	Max	0	3
165	Weber	0	3
166	und	0	3
167	Carl	0	3
168	Schmitt	0	3
169	,	0	3
170	”	0	3
171	Frankfurter	0	3
172	Allgemeine	0	3
173	Zeitung	0	3
174	,	0	3
175	136	0	3
176	(	0	3
177	27	0	3
178	.	0	3
179	6	0	3
180	.	0	3
181	1964	0	3
182	)	0	3
183	.	0	3
184	Opportunistische	0	4
185	Zeitgeist	0	4
186	-	0	4
187	Avancen	0	4
188	scheint	0	4
189	beispielsweise	0	4
190	auch	0	4
191	Helmut	1	4
192	Rumpf	1	4
193	dem	0	4
194	vermeintlichen	0	4
195	„	0	4
196	deutschen	0	4
197	Hobbesianer	0	4
198	des	0	4
199	2	0	4
200	0	0	4
201	.	0	4
202	Jahrhunderts	0	4
203	“	0	4
204	(	0	4
205	Helmut	1	4
206	Rumpf	1	4
207	,	0	4
208	Carl	0	4
209	Schmitt	0	4
210	und	0	4
211	Thomas	0	4
212	Hobbes	0	4
213	.	0	4
214	Ideelle	0	4
215	Beziehungen	0	4
216	und	0	4
217	aktuelle	0	4
218	Bedeutung	0	4
219	mit	0	4
220	einer	0	4
221	Abhandlung	0	4
222	über	0	4
223	:	0	4
224	Die	0	4
225	Frühschriften	0	4
226	Carl	0	4
227	Schmitts	0	4
228	,	0	4
229	Berlin	0	4
230	1972	0	4
231	,	0	4
232	78	0	4
233	)	0	4
234	nahezulegen	0	4
235	:	0	4
236	„	0	4
237	Carl	0	4
238	Schmitts	0	4
239	damalige	0	4
240	Kritik	0	4
241	an	0	4
242	Spinoza	0	4
243	,	0	4
244	Mendelssohn	0	4
245	und	0	4
246	Stahl	0	4
247	.	0	4
248	.	0	4
249	.	0	4
250	kommt	0	4
251	stellenweise	0	4
252	einer	0	4
253	Anschuldigung	0	4
254	näher	0	4
255	als	0	4
256	einer	0	4
257	Erklärung	0	4
258	.	0	4
259	Diese	0	4
260	Zeilen	0	4
261	.	0	4
262	.	0	4
263	.	0	4
264	atmen	0	4
265	nicht	0	4
266	den	0	4
267	Geist	0	4
268	des	0	4
269	Hobbes	0	4
270	,	0	4
271	sondern	0	4
272	den	0	4
273	des	0	4
274	deutschen	0	4
275	Antisemitismus	0	4
276	der	0	4
277	Hitlerzeit	0	4
278	“	0	4
279	(	0	4
280	Rumpf	0	4
281	,	0	4
282	71	0	4
283	)	0	4
284	.	0	4
285	•	0	5
286	)	0	5
287	'	0	5
288	Das	0	5
289	Frauenopfer	0	5
290	’	0	5
291	,	0	5
292	Potsdam	0	5
293	1922	0	5
294	,	0	5
295	8	0	5
296	.	0	5
297	24	0	5
298	.	0	5
299	Heine	1	6
300	,	0	6
301	Die	0	6
302	Harzreise	0	6
303	,	0	6
304	HSA	0	6
305	(	0	6
306	Anm	0	6
307	.	0	6
308	1	0	6
309	)	0	6
310	,	0	6
311	V	0	6
312	(	0	6
313	197	0	6
314	0	0	6
315	)	0	6
316	,	0	6
317	7	0	6
318	-	0	6
319	59	0	6
320	,	0	6
321	hier	0	6
322	:	0	6
323	25	0	6
324	.	0	6
325	The	0	7
326	new	0	7
327	biographies	0	7
328	included	0	7
329	in	0	7
330	the	0	7
331	reprint	0	7
332	are	0	7
333	those	0	7
334	of	0	7
335	Johann	0	7
336	Caspar	0	7
337	Schade	0	7
338	,	0	7
339	Johann	0	7
340	Fritschen	0	7
341	and	0	7
342	Johann	0	7
343	Paul	0	7
344	Astmann	0	7
345	,	0	7
346	all	0	7
347	Pietist	0	7
348	pastors	0	7
349	in	0	7
350	Berlin	0	7
351	(	0	7
352	Raabe	1	7
353	[	0	7
354	note	0	7
355	4	0	7
356	]	0	7
357	,	0	7
358	6	0	7
359	0	0	7
360	7	0	7
361	)	0	7
362	.	0	7
363	Schräder	0	7
364	describes	0	7
365	Weller	0	7
366	’	0	7
367	s	0	7
368	Marter	0	7
369	-	0	7
370	Buch	0	7
371	as	0	7
372	one	0	7
373	of	0	7
374	the	0	7
375	“	0	7
376	“	0	7
377	Vorläufer	0	7
378	der	0	7
379	neuen	0	7
380	Gattung	0	7
381	”	0	7
382	”	0	7
383	(	0	7
384	Schräder	0	7
385	[	0	7
386	note	0	7
387	2	0	7
388	]	0	7
389	,	0	7
390	IV	0	7
391	,	0	7
392	135	0	7
393	)	0	7
394	,	0	7
395	however	0	7
396	,	0	7
397	it	0	7
398	is	0	7
399	Francke	0	7
400	’	0	7
401	s	0	7
402	Vorrede	0	7
403	that	0	7
404	contextualizes	0	7
405	the	0	7
406	narratives	0	7
407	and	0	7
408	draws	0	7
409	out	0	7
410	the	0	7
411	hermeneutic	0	7
412	implications	0	7
413	of	0	7
414	biography	0	7
415	and	0	7
416	autobio	0	7
417	-	0	7
418	graphy	0	7
419	.	0	7
420	S	0	8
421	.	0	8
422	hierzu	0	8
423	Karla	1	8
424	El	1	8
425	-	1	8
426	Hassan	1	8
427	,	0	8
428	“	0	8
429	Reflections	0	8
430	on	0	8
431	the	0	8
432	Special	0	8
433	Unity	0	8
434	of	0	8
435	Stephen	0	8
436	Leacock	0	8
437	’	0	8
438	s	0	8
439	Sunshine	0	8
440	Sketches	0	8
441	of	0	8
442	a	0	8
443	Little	0	8
444	Town	0	8
445	&	0	8
446	quot	0	8
447	;	0	8
448	Gaining	0	8
449	Ground	0	8
450	:	0	8
451	European	0	8
452	Critics	0	8
453	on	0	8
454	Canadian	0	8
455	Literature	0	8
456	,	0	8
457	hrsg	0	8
458	.	0	8
459	Robert	0	8
460	Kroetsch	0	8
461	and	0	8
462	Reingard	0	8
463	M	0	8
464	.	0	8
465	Nischik	0	8
466	(	0	8
467	1985	0	8
468	)	0	8
469	,	0	8
470	S	0	8
471	.	0	8
472	171	0	8
473	-	0	8
474	185	0	8
475	.	0	8
476	Goethe	0	9
477	hat	0	9
478	beide	0	9
479	Texte	0	9
480	als	0	9
481	sein	0	9
482	geistiges	0	9
483	Eigentum	0	9
484	anerkannt	0	9
485	und	0	9
486	in	0	9
487	seine	0	9
488	Arbeiten	0	9
489	zur	0	9
490	roblem	0	10
491	,	0	10
492	dem	0	10
493	man	0	10
494	überall	0	10
495	,	0	10
496	wo	0	10
497	vom	0	10
498	Geist	0	10
499	die	0	10
500	Rede	0	10
501	ist	0	10
502	,	0	10
503	begegnet	0	10
504	.	0	10
505	Die	0	10
506	scheinbar	0	10
507	ier	0	10
508	vorliegende	0	10
509	Hypostasierung	0	10
510	des	0	10
511	empirischen	0	10
512	Geistes	0	10
513	,	0	10
514	der	0	10
515	in	0	10
516	Politik	0	10
517	,	0	10
518	Kunst	0	10
519	,	0	10
520	e	0	10
521	igion	0	10
522	usw	0	10
523	.	0	10
524	verschiedener	0	10
525	Nationen	0	10
526	wirksam	0	10
527	ist	0	10
528	,	0	10
529	ist	0	10
530	teils	0	10
531	auf	0	10
532	die	0	10
533	metaphysische	0	10
534	elte	0	10
535	von	0	10
536	Hegels	0	10
537	Philosophie	0	10
538	zurückzuführen	0	10
539	,	0	10
540	aber	0	10
541	auch	0	10
542	,	0	10
543	wenn	0	10
544	man	0	10
545	davon	0	10
546	absehen	0	10
547	will	0	10
548	,	0	10
549	leicht	0	10
550	daraus	0	10
551	erklärlich	0	10
552	,	0	10
553	da	0	10
554	ß	0	10
555	Hegel	0	10
556	sein	0	10
557	Augenmerk	0	10
558	so	0	10
559	unverwandt	0	10
560	auf	0	10
561	as	0	10
562	Endziel	0	10
563	des	0	10
564	geschichtlichen	0	10
565	Prozesses	0	10
566	richtet	0	10
567	,	0	10
568	da	0	10
569	ß	0	10
570	es	0	10
571	ihm	0	10
572	schlie	0	10
573	ß	0	10
574	lich	0	10
575	vorkom	0	10
576	-	0	10
577	111611	0	10
578	rnu	0	10
579	ß	0	10
580	&	0	10
581	gt	0	10
582	;	0	10
583	als	0	10
584	steuere	0	10
585	alles	0	10
586	geradewegs	0	10
587	darauf	0	10
588	hin	0	10
589	,	0	10
590	als	0	10
591	handle	0	10
592	es	0	10
593	sich	0	10
594	um	0	10
595	ein	0	10
596	von	0	10
597	vornherein	0	10
598	Erstrebtes	0	10
599	.	0	10
600	Vgl	0	11
601	.	0	11
602	dazu	0	11
603	Robert	1	11
604	H	1	11
605	.	1	11
606	Walker	1	11
607	,	0	11
608	“	0	11
609	The	0	11
610	Poets	0	11
611	Interpret	0	11
612	the	0	11
613	Western	0	11
614	Frontier	0	11
615	,	0	11
616	”	0	11
617	Mississippi	0	11
618	Valley	0	11
619	Historical	0	11
620	Review	0	11
621	,	0	11
622	47	0	11
623	(	0	11
624	196	0	11
625	0	0	11
626	/	0	11
627	61	0	11
628	)	0	11
629	,	0	11
630	619	0	11
631	-	0	11
632	635	0	11
633	,	0	11
634	hier	0	11
635	:	0	11
636	8	0	11
637	.	0	11
638	619	0	11
639	.	0	11
640	Vgl	0	12
641	.	0	12
642	W	1	12
643	.	1	12
644	Kittler	1	12
645	(	0	12
646	Anm	0	12
647	.	0	12
648	1	0	12
649	0	0	12
650	)	0	12
651	,	0	12
652	255	0	12
653	.	0	12
654	Lausberg	1	13
655	(	0	13
656	Anm	0	13
657	.	0	13
658	15	0	13
659	)	0	13
660	,	0	13
661	165f	0	13
662	.	0	13
663	(	0	13
664	§	0	13
665	29	0	13
666	0	0	13
667	)	0	13
668	.	0	13
669	Bezeichnend	0	14
670	ist	0	14
671	eine	0	14
672	Tagebucheintragung	0	14
673	vom	0	14
674	27	0	14
675	.	0	14
676	8	0	14
677	.	0	14
678	1916	0	14
679	:	0	14
680	“	0	14
681	“	0	14
682	La	0	14
683	ß	0	14
684	auch	0	14
685	den	0	14
686	unsinnigen	0	14
687	Irrtum	0	14
688	,	0	14
689	da	0	14
690	ß	0	14
691	du	0	14
692	Vergleiche	0	14
693	anstellst	0	14
694	,	0	14
695	etwa	0	14
696	mit	0	14
697	Flaubert	0	14
698	,	0	14
699	Kierkegaard	0	14
700	,	0	14
701	Grillparzer	0	14
702	.	0	14
703	Das	0	14
704	ist	0	14
705	durchaus	0	14
706	Knabenart	0	14
707	.	0	14
708	”	0	14
709	”	0	14
710	T	0	14
711	,	0	14
712	S	0	14
713	.	0	14
714	319	0	14
715	.	0	14
716	i	0	15
717	)	0	15
718	p	0	15
719	\	0	15
720	y	0	15
721	yi	0	15
722	^	0	15
723	preparatory	0	15
724	Reading	0	15
725	and	0	15
726	Thought	0	15
727	175	0	15
728	,	0	15
729	S	0	15
730	.	0	15
731	168	0	15
732	.	0	15
733	Der	0	15
734	obige	0	15
735	Text	0	15
736	ist	0	15
737	etwas	0	15
738	verändert	0	15
739	,	0	15
740	um	0	15
741	das	0	15
742	Verständnis	0	15
743	für	0	15
744	diesen	0	15
745	Zusammenhang	0	15
746	zu	0	15
747	erleichtern	0	15
748	.	0	15
749	Kant	1	16
750	(	0	16
751	Anm	0	16
752	.	0	16
753	58	0	16
754	)	0	16
755	,	0	16
756	242	0	16
757	.	0	16
758	)	0	17
759	Hermann	0	17
760	Broch	1	17
761	,	0	17
762	Briefe	0	17
763	von	0	17
764	1929	0	17
765	bis	0	17
766	1951	0	17
767	,	0	17
768	Zürich	0	17
769	,	0	17
770	1957	0	17
771	.	0	17
772	Vgl	0	17
773	.	0	17
774	9	0	17
775	.	0	17
776	12	0	17
777	.	0	17
778	1932	0	17
779	an	0	17
780	Dr	0	17
781	.	0	17
782	D	0	17
783	.	0	17
784	Brody	0	17
785	,	0	17
786	79f	0	17
787	.	0	17
788	Stackpole	1	18
789	Court	1	18
790	,	0	18
791	Archive	0	18
792	of	0	18
793	the	0	18
794	Earl	0	18
795	of	0	18
796	Cawdor	0	18
797	,	0	18
798	zitiert	0	18
799	nach	0	18
800	Honour	0	18
801	(	0	18
802	Anm	0	18
803	.	0	18
804	37	0	18
805	)	0	18
806	,	0	18
807	158	0	18
808	.	0	18
809	)	0	19
810	Heinrich	0	19
811	Zschokke	1	19
812	:	0	19
813	Eine	0	19
814	Selbstschau	0	19
815	.	0	19
816	Bd	0	19
817	1	0	19
818	.	0	19
819	1842	0	19
820	.	0	19
821	S	0	19
822	.	0	19
823	2	0	19
824	0	0	19
825	5	0	19
826	;	0	19
827	vgl	0	19
828	.	0	19
829	Lebensspuren	0	19
830	.	0	19
831	S	0	19
832	.	0	19
833	57	0	19
834	.	0	19
835	Ebd	0	20
836	.	0	20
837	,	0	20
838	S	0	20
839	.	0	20
840	136	0	20
841	.	0	20
842	Colin	0	21
843	Andrew	0	21
844	McLaren	0	21
845	,	0	21
846	Rattus	0	21
847	Rex	0	21
848	,	0	21
849	London	0	21
850	1978	0	21
851	,	0	21
852	159	0	21
853	.	0	21
854	Dem	0	22
855	Forschungsbericht	0	22
856	von	0	22
857	Hans	1	22
858	-	1	22
859	Peter	1	22
860	Müller	1	22
861	,	0	22
862	Das	0	22
863	Hiobproblem	0	22
864	.	0	22
865	Seine	0	22
866	Stellung	0	22
867	und	0	22
868	Entstehung	0	22
869	im	0	22
870	alten	0	22
871	Orient	0	22
872	und	0	22
873	im	0	22
874	alten	0	22
875	Testament	0	22
876	,	0	22
877	3	0	22
878	.	0	22
879	Aufl	0	22
880	.	0	22
881	,	0	22
882	Darmstadt	0	22
883	1995	0	22
884	,	0	22
885	lä	0	22
886	ß	0	22
887	t	0	22
888	sich	0	22
889	entnehmen	0	22
890	,	0	22
891	da	0	22
892	ß	0	22
893	in	0	22
894	neueren	0	22
895	Arbeiten	0	22
896	auch	0	22
897	im	0	22
898	Deutschen	0	22
899	vorwiegend	0	22
900	der	0	22
901	Name	0	22
902	Job	0	22
903	gebraucht	0	22
904	wird	0	22
905	;	0	22
906	vgl	0	22
907	.	0	22
908	155	0	22
909	-	0	22
910	166	0	22
911	und	0	22
912	2	0	22
913	0	0	22
914	0	0	22
915	-	0	22
916	213	0	22
917	.	0	22
918	Susanne	1	23
919	Müller	1	23
920	-	1	23
921	Hanpft	1	23
922	(	0	23
923	Anm	0	23
924	.	0	23
925	72	0	23
926	)	0	23
927	,	0	23
928	2	0	23
929	0	0	23
930	0	0	23
931	.	0	23
932	Hiecke	1	24
933	,	0	24
934	Shakspeare	0	24
935	'	0	24
936	s	0	24
937	Macbeth	0	24
938	,	0	24
939	S	0	24
940	.	0	24
941	63	0	24
942	-	0	24
943	7	0	24
944	0	0	24
945	.	0	24
946	„	0	25
947	Semi	1	25
948	Meyer	1	25
949	,	0	25
950	Probleme	0	25
951	des	0	25
952	menschlichen	0	25
953	Geisteslebens	0	25
954	“	0	25
955	(	0	25
956	SW	0	25
957	V	0	25
958	,	0	25
959	86	0	25
960	)	0	25
961	.	0	25
962	Memoires	0	26
963	historiques	0	26
964	,	0	26
965	Bd	0	26
966	.	0	26
967	2	0	26
968	,	0	26
969	232	0	26
970	.	0	26
971	Brief	0	26
972	Laportes	0	26
973	vom	0	26
974	7	0	26
975	.	0	26
976	August	0	26
977	1792	0	26
978	:	0	26
979	»	0	26
980	Le	0	26
981	2	0	26
982	0	0	26
983	juin	0	26
984	vous	0	26
985	a	0	26
986	merite	0	26
987	la	0	26
988	survivance	0	26
989	de	0	26
990	madame	0	26
991	la	0	26
992	princesse	0	26
993	de	0	26
994	Lamballe	0	26
995	;	0	26
996	vous	0	26
997	la	0	26
998	recevrez	0	26
999	sous	0	26
1000	peu	0	26
1001	avec	0	26
1002	une	0	26
1003	augmentation	0	26
1004	«	0	26
1005	.	0	26
1006	Als	0	26
1007	Stephanie	0	26
1008	verhaftet	0	26
1009	und	0	26
1010	in	0	26
1011	einem	0	26
1012	Armenspital	0	26
1013	festgehalten	0	26
1014	wird	0	26
1015	,	0	26
1016	macht	0	26
1017	sie	0	26
1018	für	0	26
1019	sich	0	26
1020	den	0	26
1021	Titel	0	26
1022	der	0	26
1023	Lamballe	0	26
1024	geltend	0	26
1025	:	0	26
1026	»	0	26
1027	La	0	26
1028	sur	0	26
1029	-	0	26
1030	inten	0	26
1031	-	0	26
1032	dante	0	26
1033	de	0	26
1034	la	0	26
1035	maison	0	26
1036	de	0	26
1037	la	0	26
1038	reine	0	26
1039	est	0	26
1040	trop	0	26
1041	heureuse	0	26
1042	de	0	26
1043	trouver	0	26
1044	un	0	26
1045	refuge	0	26
1046	dans	0	26
1047	celle	0	26
1048	des	0	26
1049	indigens	0	26
1050	.	0	26
1051	«	0	26
1052	Ebd	0	26
1053	.	0	26
1054	,	0	26
1055	247	0	26
1056	.	0	26
1057	Darauf	0	27
1058	hat	0	27
1059	Laermann	1	27
1060	hingewiesen	0	27
1061	:	0	27
1062	„	0	27
1063	Adornos	0	27
1064	Satz	0	27
1065	wollte	0	27
1066	provozieren	0	27
1067	“	0	27
1068	(	0	27
1069	Laermann	0	27
1070	[	0	27
1071	Anm	0	27
1072	.	0	27
1073	25	0	27
1074	]	0	27
1075	,	0	27
1076	11	0	27
1077	)	0	27
1078	.	0	27
1079	)	0	28
1080	s	0	28
1081	.	0	28
1082	Anm	0	28
1083	.	0	28
1084	19	0	28
1085	.	0	28
1086	s	0	28
1087	.	0	28
1088	Anm	0	28
1089	.	0	28
1090	21	0	28
1091	.	0	28
1092	s	0	28
1093	.	0	28
1094	Anm	0	28
1095	.	0	28
1096	24	0	28
1097	.	0	28
1098	Paul	1	29
1099	Klee	1	29
1100	,	0	29
1101	Tagebücher	0	29
1102	1898	0	29
1103	-	0	29
1104	1918	0	29
1105	,	0	29
1106	hrsg	0	29
1107	.	0	29
1108	und	0	29
1109	eingeleitet	0	29
1110	von	0	29
1111	Felix	0	29
1112	Klee	0	29
1113	(	0	29
1114	1957	0	29
1115	)	0	29
1116	.	0	29
1117	Zu	0	30
1118	diskutieren	0	30
1119	wäre	0	30
1120	,	0	30
1121	wieweit	0	30
1122	das	0	30
1123	von	0	30
1124	de	0	30
1125	Man	0	30
1126	praktizierte	0	30
1127	dekonstruktive	0	30
1128	Verfahren	0	30
1129	bereits	0	30
1130	selbst	0	30
1131	dieses	0	30
1132	selbständige	0	30
1133	Prozessieren	0	30
1134	der	0	30
1135	literarischen	0	30
1136	Kommunikation	0	30
1137	‘	0	30
1138	abbildet	0	30
1139	:	0	30
1140	ist	0	30
1141	die	0	30
1142	allegorische	0	30
1143	Lektüre	0	30
1144	und	0	30
1145	ihr	0	30
1146	ironisches	0	30
1147	Wissen	0	30
1148	auch	0	30
1149	ihrerseits	0	30
1150	wiederum	0	30
1151	negierbar	0	30
1152	oder	0	30
1153	hat	0	30
1154	man	0	30
1155	in	0	30
1156	ihr	0	30
1157	eher	0	30
1158	eine	0	30
1159	Art	0	30
1160	‘	0	30
1161	Monade	0	30
1162	’	0	30
1163	zu	0	30
1164	sehen	0	30
1165	?	0	30
1166	Vgl	0	31
1167	.	0	31
1168	zu	0	31
1169	diesem	0	31
1170	Spannungsverhältnis	0	31
1171	u	0	31
1172	.	0	31
1173	a	0	31
1174	.	0	31
1175	:	0	31
1176	Wolfgang	1	31
1177	Martens	1	31
1178	,	0	31
1179	„	0	31
1180	Zum	0	31
1181	Bild	0	31
1182	Österreichs	0	31
1183	in	0	31
1184	Friedrich	0	31
1185	Nicolais	0	31
1186	Beschreibung	0	31
1187	einer	0	31
1188	Reise	0	31
1189	durch	0	31
1190	Deutschland	0	31
1191	und	0	31
1192	die	0	31
1193	Schweiz	0	31
1194	im	0	31
1195	Jahre	0	31
1196	1781	0	31
1197	“	0	31
1198	,	0	31
1199	Anzeiger	0	31
1200	d	0	31
1201	.	0	31
1202	phil	0	31
1203	.	0	31
1204	-	0	31
1205	hist	0	31
1206	.	0	31
1207	Klasse	0	31
1208	d	0	31
1209	.	0	31
1210	österr	0	31
1211	.	0	31
1212	Akad	0	31
1213	.	0	31
1214	d	0	31
1215	.	0	31
1216	Wissens	0	31
1217	eh	0	31
1218	.	0	31
1219	,	0	31
1220	116	0	31
1221	(	0	31
1222	1979	0	31
1223	)	0	31
1224	,	0	31
1225	45	0	31
1226	-	0	31
1227	67	0	31
1228	;	0	31
1229	-	0	31
1230	Heinrich	1	31
1231	Hubert	1	31
1232	Houben	1	31
1233	,	0	31
1234	Hier	0	31
1235	Zensur	0	31
1236	-	0	31
1237	wer	0	31
1238	dort	0	31
1239	?	0	31
1240	,	0	31
1241	Leipzig	0	31
1242	1918	0	31
1243	(	0	31
1244	Nachdruck	0	31
1245	mit	0	31
1246	einem	0	31
1247	Essay	0	31
1248	von	0	31
1249	Günter	0	31
1250	de	0	31
1251	Bruyn	0	31
1252	,	0	31
1253	Leipzig	0	31
1254	199	0	31
1255	0	0	31
1256	;	0	31
1257	darin	0	31
1258	:	0	31
1259	33	0	31
1260	-	0	31
1261	42	0	31
1262	,	0	31
1263	97	0	31
1264	)	0	31
1265	,	0	31
1266	ferner	0	31
1267	:	0	31
1268	Peter	1	31
1269	Wiesinger	1	31
1270	,	0	31
1271	„	0	31
1272	Zur	0	31
1273	Frage	0	31
1274	lutherisch	0	31
1275	-	0	31
1276	ostmitteldeutscher	0	31
1277	Spracheinflüsse	0	31
1278	auf	0	31
1279	Österreich	0	31
1280	im	0	31
1281	17	0	31
1282	.	0	31
1283	und	0	31
1284	in	0	31
1285	der	0	31
1286	ersten	0	31
1287	Hälfte	0	31
1288	des	0	31
1289	18	0	31
1290	.	0	31
1291	Jahrhunderts	0	31
1292	“	0	31
1293	,	0	31
1294	in	0	31
1295	:	0	31
1296	Manfred	0	31
1297	Lemmer	0	31
1298	(	0	31
1299	Hrsg	0	31
1300	.	0	31
1301	)	0	31
1302	,	0	31
1303	Beiträge	0	31
1304	zur	0	31
1305	Sprachwirkung	0	31
1306	Martin	0	31
1307	Luthers	0	31
1308	im	0	31
1309	17	0	31
1310	.	0	31
1311	und	0	31
1312	18	0	31
1313	.	0	31
1314	Jahrhundert	0	31
1315	,	0	31
1316	Halle	0	31
1317	/	0	31
1318	S	0	31
1319	.	0	31
1320	1987	0	31
1321	,	0	31
1322	83	0	31
1323	-	0	31
1324	1	0	31
1325	0	0	31
1326	9	0	31
1327	.	0	31
1328	-	0	31
1329	Vgl	0	31
1330	.	0	31
1331	zur	0	31
1332	Sprachensituation	0	31
1333	von	0	31
1334	1526	0	31
1335	-	0	31
1336	174	0	31
1337	0	0	31
1338	:	0	31
1339	Fischei	0	31
1340	(	0	31
1341	Anm	0	31
1342	.	0	31
1343	8	0	31
1344	)	0	31
1345	,	0	31
1346	VIII	0	31
1347	-	0	31
1348	XXVIII	0	31
1349	.	0	31
1350	Hofmannsthal	1	32
1351	-	1	32
1352	Braun	1	32
1353	(	0	32
1354	Anm	0	32
1355	.	0	32
1356	45	0	32
1357	)	0	32
1358	,	0	32
1359	383	0	32
1360	(	0	32
1361	Brief	0	32
1362	vom	0	32
1363	1	0	32
1364	.	0	32
1365	7	0	32
1366	.	0	32
1367	1915	0	32
1368	)	0	32
1369	.	0	32
1370	Vgl	0	33
1371	.	0	33
1372	den	0	33
1373	Aufsatz	0	33
1374	des	0	33
1375	aus	0	33
1376	der	0	33
1377	Bukowina	0	33
1378	stammenden	0	33
1379	Parteisekretärs	0	33
1380	Lotar	0	33
1381	Radaceanu	1	33
1382	,	0	33
1383	„	0	33
1384	De	0	33
1385	ce	1	33
1386	opozitie	0	33
1387	dirza	0	33
1388	?	0	33
1389	“	0	33
1390	,	0	33
1391	Miscarea	0	33
1392	sociala	0	33
1393	2	0	33
1394	(	0	33
1395	1929	0	33
1396	)	0	33
1397	,	0	33
1398	64	0	33
1399	-	0	33
1400	67	0	33
1401	,	0	33
1402	apud	0	33
1403	Jurca	0	33
1404	(	0	33
1405	Anm	0	33
1406	.	0	33
1407	11	0	33
1408	)	0	33
1409	,	0	33
1410	182	0	33
1411	.	0	33
1412	Dentan	1	34
1413	,	0	34
1414	p	0	34
1415	.	0	34
1416	168	0	34
1417	.	0	34
1418	Gemeint	0	35
1419	ist	0	35
1420	offenbar	0	35
1421	die	0	35
1422	kirchliche	0	35
1423	Lehre	0	35
1424	,	0	35
1425	die	0	35
1426	ihren	0	35
1427	Inhalt	0	35
1428	als	0	35
1429	Geheimnis	0	35
1430	ausgibt	0	35
1431	.	0	35
1432	Jameson	1	36
1433	(	0	36
1434	Anm	0	36
1435	.	0	36
1436	24	0	36
1437	)	0	36
1438	,	0	36
1439	92	0	36
1440	;	0	36
1441	Marx	1	36
1442	(	0	36
1443	Anm	0	36
1444	.	0	36
1445	8	0	36
1446	)	0	36
1447	,	0	36
1448	I	0	36
1449	,	0	36
1450	18	0	36
1451	(	0	36
1452	in	0	36
1453	“	0	36
1454	“	0	36
1455	dem	0	36
1456	positiven	0	36
1457	Verständnis	0	36
1458	des	0	36
1459	Bestehenden	0	36
1460	zugleich	0	36
1461	auch	0	36
1462	das	0	36
1463	Verständnis	0	36
1464	seiner	0	36
1465	Negation	0	36
1466	,	0	36
1467	seines	0	36
1468	notwendigen	0	36
